Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28
Metropolitana,13,Independencia,13108,142065.0,0,0.0,0.0,0.0,4.0,16.0,10.0,26.0,50.0,146.0,309.0,570.0,787.0,774.0,767.0,730.0,571.0,444.0,328.0,209.0,170.0,23.0
Metropolitana,13,Isla de Maipo,13603,40171.0,0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,4.0,13.0,25.0,37.0,70.0,89.0,98.0,81.0,77.0,78.0,53.0,15.0
Metropolitana,13,La Cisterna,13109,100434.0,0,0.0,0.0,0.0,3.0,10.0,13.0,20.0,18.0,28.0,64.0,121.0,241.0,328.0,306.0,425.0,413.0,313.0,281.0,178.0,105.0,21.0
Metropolitana,13,La Florida,13110,402433.0,0,0.0,1.0,2.0,12.0,31.0,59.0,64.0,79.0,106.0,208.0,595.0,1031.0,1543.0,1722.0,1629.0,1681.0,1183.0,1078.0,819.0,435.0,64.0
Metropolitana,13,La Granja,13111,122557.0,0,0.0,0.0,0.0,1.0,6.0,16.0,35.0,22.0,21.0,74.0,270.0,614.0,918.0,1024.0,804.0,816.0,637.0,521.0,341.0,279.0,34.0
Metropolitana,13,La Pintana,13112,189335.0,0,0.0,1.0,1.0,3.0,10.0,21.0,35.0,50.0,94.0,156.0,341.0,724.0,897.0,1266.0,1363.0,1369.0,933.0,702.0,502.0,299.0,40.0
Metropolitana,13,La Reina,13113,100252.0,0,0.0,0.0,0.0,12.0,16.0,12.0,18.0,8.0,13.0,41.0,75.0,125.0,221.0,306.0,253.0,240.0,222.0,183.0,129.0,105.0,24.0
Metropolitana,13,Lampa,13302,126898.0,0,0.0,0.0,0.0,0.0,9.0,13.0,15.0,14.0,18.0,52.0,138.0,294.0,348.0,398.0,380.0,439.0,368.0,251.0,187.0,136.0,40.0
Metropolitana,13,Las Condes,13114,330759.0,0,1.0,1.0,18.0,60.0,128.0,69.0,42.0,37.0,34.0,75.0,245.0,498.0,695.0,750.0,682.0,570.0,494.0,368.0,273.0,182.0,33.0
Metropolitana,13,Lo Barnechea,13115,124076.0,0,0.0,0.0,2.0,14.0,55.0,30.0,23.0,37.0,40.0,66.0,153.0,266.0,400.0,413.0,362.0,369.0,304.0,130.0,102.0,64.0,17.0
Metropolitana,13,Lo Espejo,13116,103865.0,0,0.0,1.0,0.0,1.0,5.0,9.0,25.0,30.0,21.0,71.0,166.0,345.0,429.0,380.0,522.0,559.0,397.0,360.0,262.0,145.0,18.0
Metropolitana,13,Lo Prado,13117,104403.0,0,0.0,0.0,0.0,3.0,6.0,21.0,16.0,24.0,31.0,105.0,196.0,352.0,497.0,504.0,611.0,528.0,480.0,387.0,244.0,169.0,37.0
Metropolitana,13,Macul,13118,134635.0,0,0.0,0.0,1.0,3.0,17.0,23.0,20.0,14.0,23.0,79.0,190.0,438.0,533.0,637.0,551.0,630.0,459.0,378.0,254.0,153.0,33.0
