Region,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total,Fecha,Fallecidostotales,Nuevos Casos,Casos Confirmados,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Los Lagos,791.0,10.0,10.0,0.0,13,0.96%,2020/05/27,,,,,,,10,891440,
Aysén,12.0,0.0,0.0,0.0,0,0.01%,2020/05/27,,,,,,,11,107297,
Magallanes,1037.0,6.0,5.0,1.0,18,1.26%,2020/05/27,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/30,,2.0,6.0,,,,15,252110,2.379913529808417
Tarapacá,,,,,0,,2020/03/30,,2.0,8.0,,,,1,382773,2.090011573439088
Antofagasta,,,,,0,,2020/03/30,,8.0,35.0,,,,2,691854,5.058870802221278
Atacama,,,,,0,,2020/03/30,,0.0,2.0,,,,3,314709,0.6355077230076038
Coquimbo,,,,,0,,2020/03/30,,9.0,27.0,,,,4,836096,3.229294243723209
Valparaíso,,,,,0,,2020/03/30,,28.0,108.0,,,,5,1960170,5.509726197217589
Metropolitana,,,,,3,,2020/03/30,,128.0,1295.0,,,,13,8125072,15.938320300423184
O’Higgins,,,,,0,,2020/03/30,,0.0,21.0,,,,6,991063,2.118936939427665
Maule,,,,,1,,2020/03/30,,12.0,54.0,,,,7,1131939,4.77057509282744
Ñuble,,,,,0,,2020/03/30,,32.0,229.0,,,,16,511551,44.76582002576478
Biobío,,,,,2,,2020/03/30,,16.0,201.0,,,,8,1663696,12.081534126426943
Araucanía,,,,,2,,2020/03/30,,42.0,247.0,,,,9,1014343,24.350737373846915
Los Ríos,,,,,0,,2020/03/30,,7.0,47.0,,,,14,405835,11.581061268742223
Los Lagos,,,,,0,,2020/03/30,,24.0,128.0,,,,10,891440,14.35879027191959
Aysén,,,,,0,,2020/03/30,,0.0,2.0,,,,11,107297,1.863985013560491
Magallanes,,,,,0,,2020/03/30,,0.0,39.0,,,,12,178362,21.865644027315234
Arica y Parinacota,,,,,0,,2020/03/07,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/07,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/07,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/07,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/07,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/07,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/07,,1.0,4.0,,,,13,8125072,0.0492303329742801
O’Higgins,,,,,0,,2020/03/07,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/07,,0.0,2.0,,,,7,1131939,0.1766879664010163
Ñuble,,,,,0,,2020/03/07,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/07,,0.0,0.0,,,,8,1663696,0.0
Araucanía,,,,,0,,2020/03/07,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/07,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/07,,1.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/07,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/07,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,,,,,0,,2020/03/06,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/06,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/06,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/06,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/06,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/06,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/06,,1.0,3.0,,,,13,8125072,0.03692274973071008
O’Higgins,,,,,0,,2020/03/06,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/06,,0.0,2.0,,,,7,1131939,0.1766879664010163
Ñuble,,,,,0,,2020/03/06,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/06,,0.0,0.0,,,,8,1663696,0.0
Araucanía,,,,,0,,2020/03/06,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/06,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/06,,0.0,0.0,,,,10,891440,0.0
Aysén,,,,,0,,2020/03/06,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/06,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,,,,,0,,2020/04/10,,12.0,87.0,,,,15,252110,34.50874618222204
Tarapacá,,,,,0,,2020/04/10,,6.0,35.0,,,,1,382773,9.14380063379601
Antofagasta,,,,,1,,2020/04/10,,18.0,110.0,,,,2,691854,15.899308235552587
Atacama,,,,,0,,2020/04/10,,3.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/10,,0.0,61.0,,,,4,836096,7.295812921004287
Valparaíso,,,,,2,,2020/04/10,,11.0,241.0,,,,5,1960170,12.294851977124432
Metropolitana,,,,,29,,2020/04/10,,361.0,3193.0,,,,13,8125072,39.298113296719094
O’Higgins,,,,,0,,2020/04/10,,0.0,44.0,,,,6,991063,4.439677396896061
Maule,,,,,2,,2020/04/10,,3.0,131.0,,,,7,1131939,11.573061799266569
Ñuble,,,,,6,,2020/04/10,,18.0,589.0,,,,16,511551,115.14003491342994
Biobío,,,,,2,,2020/04/10,,14.0,474.0,,,,8,1663696,28.49078196978294
Araucanía,,,,,16,,2020/04/10,,23.0,712.0,,,,9,1014343,70.19321866469232
Los Ríos,,,,,2,,2020/04/10,,6.0,124.0,,,,14,405835,30.554289304766712
Los Lagos,,,,,2,,2020/04/10,,9.0,349.0,,,,10,891440,39.15013910078076
Aysén,,,,,0,,2020/04/10,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,3,,2020/04/10,,45.0,331.0,,,,12,178362,185.57764546259853
Arica y Parinacota,,,,,1,,2020/04/15,,4.0,124.0,,,,15,252110,49.18487961604062
Tarapacá,,,,,0,,2020/04/15,,0.0,62.0,,,,1,382773,16.19758969415293
Antofagasta,,,,,1,,2020/04/15,,21.0,176.0,,,,2,691854,25.438893176884143
Atacama,,,,,0,,2020/04/15,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/15,,0.0,66.0,,,,4,836096,7.8938303735456214
Valparaíso,,,,,2,,2020/04/15,,14.0,299.0,,,,5,1960170,15.253779008963509
Metropolitana,,,,,41,,2020/04/15,,248.0,4334.0,,,,13,8125072,53.341065777632494
O’Higgins,,,,,0,,2020/04/15,,1.0,54.0,,,,6,991063,5.44869498709971
Maule,,,,,4,,2020/04/15,,10.0,152.0,,,,7,1131939,13.42828544647724
Ñuble,,,,,8,,2020/04/15,,12.0,634.0,,,,16,511551,123.93681177438809
Biobío,,,,,2,,2020/04/15,,14.0,542.0,,,,8,1663696,32.5780671468826
Araucanía,,,,,21,,2020/04/15,,10.0,826.0,,,,9,1014343,81.43202052954474
Los Ríos,,,,,3,,2020/04/15,,2.0,150.0,,,,14,405835,36.96083383641135
Los Lagos,,,,,5,,2020/04/15,,5.0,390.0,,,,10,891440,43.749439109755
Aysén,,,,,0,,2020/04/15,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,6,,2020/04/15,,15.0,444.0,,,,12,178362,248.93194738789654
Arica y Parinacota,424.0,2.0,2.0,0.0,7,0.79%,2020/05/20,,,,,,,15,252110,
Tarapacá,1139.0,30.0,28.0,2.0,4,2.12%,2020/05/20,,,,,,,1,382773,
Antofagasta,1731.0,83.0,51.0,32.0,17,3.23%,2020/05/20,,,,,,,2,691854,
Atacama,163.0,5.0,3.0,2.0,0,0.30%,2020/05/20,,,,,,,3,314709,
Coquimbo,263.0,24.0,13.0,11.0,2,0.49%,2020/05/20,,,,,,,4,836096,
Valparaíso,1770.0,131.0,107.0,24.0,35,3.30%,2020/05/20,,,,,,,5,1960170,
Metropolitana,41179.0,3588.0,3298.0,290.0,348,76.80%,2020/05/20,,,,,,,13,8125072,
O’Higgins,455.0,13.0,11.0,2.0,7,0.85%,2020/05/20,,,,,,,6,991063,
Maule,680.0,40.0,29.0,11.0,14,1.27%,2020/05/20,,,,,,,7,1131939,
Ñuble,1011.0,23.0,20.0,3.0,21,1.89%,2020/05/20,,,,,,,16,511551,
Biobío,1224.0,52.0,43.0,9.0,9,2.28%,2020/05/20,,,,,,,8,1663696,
Araucanía,1680.0,14.0,10.0,4.0,44,3.13%,2020/05/20,,,,,,,9,1014343,
Los Ríos,247.0,18.0,17.0,1.0,6,0.46%,2020/05/20,,,,,,,14,405835,
Los Lagos,666.0,10.0,10.0,0.0,12,1.24%,2020/05/20,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.01%,2020/05/20,,,,,,,11,107297,
Magallanes,977.0,5.0,5.0,0.0,18,1.82%,2020/05/20,,,,,,,12,178362,
Arica y Parinacota,,,,,2,,2020/04/22,,10.0,180.0,,,,15,252110,71.3974058942525
Tarapacá,,,,,0,,2020/04/22,,10.0,114.0,,,,1,382773,29.782664921507006
Antofagasta,,,,,2,,2020/04/22,,35.0,326.0,,,,2,691854,47.119768043546756
Atacama,,,,,0,,2020/04/22,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/22,,1.0,70.0,,,,4,836096,8.372244335578689
Valparaíso,,,,,7,,2020/04/22,,18.0,421.0,,,,5,1960170,21.477728972487082
Metropolitana,,,,,78,,2020/04/22,,295.0,6083.0,,,,13,8125072,74.86702887063647
O’Higgins,,,,,1,,2020/04/22,,2.0,59.0,,,,6,991063,5.953203782201535
Maule,,,,,10,,2020/04/22,,12.0,328.0,,,,7,1131939,28.976826489766676
Ñuble,,,,,13,,2020/04/22,,9.0,703.0,,,,16,511551,137.42520296119056
Biobío,,,,,5,,2020/04/22,,22.0,658.0,,,,8,1663696,39.55049480193497
Araucanía,,,,,26,,2020/04/22,,21.0,1113.0,,,,9,1014343,109.72619715421708
Los Ríos,,,,,3,,2020/04/22,,4.0,171.0,,,,14,405835,42.13535057350894
Los Lagos,,,,,6,,2020/04/22,,13.0,445.0,,,,10,891440,49.919231804720454
Aysén,,,,,0,,2020/04/22,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,7,,2020/04/22,,12.0,605.0,,,,12,178362,339.1978111929671
Arica y Parinacota,,,,,0,,2020/03/12,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/12,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/12,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/12,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/12,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/12,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/12,,9.0,23.0,,,,13,8125072,0.2830744146021106
O’Higgins,,,,,0,,2020/03/12,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/12,,0.0,7.0,,,,7,1131939,0.6184078824035572
Ñuble,,,,,0,,2020/03/12,,1.0,1.0,,,,16,511551,0.19548393024351432
Biobío,,,,,0,,2020/03/12,,0.0,1.0,,,,8,1663696,0.06010713495734797
Araucanía,,,,,0,,2020/03/12,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/12,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/12,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/12,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/12,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,422.0,24.0,21.0,3.0,7,0.85%,2020/05/19,,,,,,,15,252110,
Tarapacá,1109.0,53.0,40.0,13.0,4,2.24%,2020/05/19,,,,,,,1,382773,
Antofagasta,1648.0,59.0,43.0,16.0,16,3.32%,2020/05/19,,,,,,,2,691854,
Atacama,158.0,1.0,1.0,0.0,0,0.32%,2020/05/19,,,,,,,3,314709,
Coquimbo,239.0,27.0,21.0,6.0,2,0.48%,2020/05/19,,,,,,,4,836096,
Valparaíso,1639.0,86.0,72.0,14.0,32,3.31%,2020/05/19,,,,,,,5,1960170,
Metropolitana,37591.0,3140.0,2802.0,338.0,318,75.82%,2020/05/19,,,,,,,13,8125072,
O’Higgins,442.0,24.0,13.0,11.0,7,0.89%,2020/05/19,,,,,,,6,991063,
Maule,640.0,38.0,33.0,5.0,14,1.29%,2020/05/19,,,,,,,7,1131939,
Ñuble,988.0,3.0,3.0,0.0,21,1.99%,2020/05/19,,,,,,,16,511551,
Biobío,1172.0,28.0,25.0,3.0,9,2.36%,2020/05/19,,,,,,,8,1663696,
Araucanía,1666.0,27.0,18.0,9.0,44,3.36%,2020/05/19,,,,,,,9,1014343,
Los Ríos,229.0,5.0,4.0,1.0,6,0.46%,2020/05/19,,,,,,,14,405835,
Los Lagos,656.0,4.0,2.0,2.0,12,1.32%,2020/05/19,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.02%,2020/05/19,,,,,,,11,107297,
Magallanes,972.0,1.0,1.0,0.0,17,1.96%,2020/05/19,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/14,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/14,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/14,,2.0,2.0,,,,2,691854,0.2890783315555016
Atacama,,,,,0,,2020/03/14,,1.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/14,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/14,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/14,,11.0,40.0,,,,13,8125072,0.492303329742801
O’Higgins,,,,,0,,2020/03/14,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/14,,1.0,9.0,,,,7,1131939,0.7950958488045735
Ñuble,,,,,0,,2020/03/14,,2.0,4.0,,,,16,511551,0.7819357209740573
Biobío,,,,,0,,2020/03/14,,0.0,3.0,,,,8,1663696,0.18032140487204393
Araucanía,,,,,0,,2020/03/14,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/14,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/14,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/14,,1.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/14,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,,,,,1,,2020/04/14,,5.0,120.0,,,,15,252110,47.59827059616834
Tarapacá,,,,,0,,2020/04/14,,10.0,62.0,,,,1,382773,16.19758969415293
Antofagasta,,,,,1,,2020/04/14,,6.0,155.0,,,,2,691854,22.403570695551373
Atacama,,,,,0,,2020/04/14,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/14,,0.0,66.0,,,,4,836096,7.8938303735456214
Valparaíso,,,,,2,,2020/04/14,,12.0,285.0,,,,5,1960170,14.539555242657526
Metropolitana,,,,,40,,2020/04/14,,283.0,4086.0,,,,13,8125072,50.28878513322713
O’Higgins,,,,,0,,2020/04/14,,5.0,53.0,,,,6,991063,5.347793228079345
Maule,,,,,4,,2020/04/14,,1.0,142.0,,,,7,1131939,12.544845614472159
Ñuble,,,,,8,,2020/04/14,,4.0,622.0,,,,16,511551,121.59100461146592
Biobío,,,,,2,,2020/04/14,,16.0,528.0,,,,8,1663696,31.73656725747973
Araucanía,,,,,20,,2020/04/14,,21.0,816.0,,,,9,1014343,80.44616071683838
Los Ríos,,,,,3,,2020/04/14,,10.0,148.0,,,,14,405835,36.468022718592536
Los Lagos,,,,,5,,2020/04/14,,5.0,385.0,,,,10,891440,43.18854886475815
Aysén,,,,,0,,2020/04/14,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,6,,2020/04/14,,14.0,429.0,,,,12,178362,240.5220843004676
Arica y Parinacota,,,,,3,,2020/04/24,,29.0,239.0,,,,15,252110,94.7998889373686
Tarapacá,,,,,0,,2020/04/24,,6.0,134.0,,,,1,382773,35.00769385510472
Antofagasta,,,,,2,,2020/04/24,,26.0,366.0,,,,2,691854,52.901334674656795
Atacama,,,,,0,,2020/04/24,,3.0,21.0,,,,3,314709,6.67283109157984
Coquimbo,,,,,0,,2020/04/24,,2.0,72.0,,,,4,836096,8.611451316595224
Valparaíso,,,,,8,,2020/04/24,,7.0,436.0,,,,5,1960170,22.242968722100635
Metropolitana,,,,,86,,2020/04/24,,327.0,6761.0,,,,13,8125072,83.21157030977695
O’Higgins,,,,,1,,2020/04/24,,5.0,81.0,,,,6,991063,8.173042480649565
Maule,,,,,10,,2020/04/24,,16.0,349.0,,,,7,1131939,30.832050136977344
Ñuble,,,,,14,,2020/04/24,,7.0,715.0,,,,16,511551,139.77101012411273
Biobío,,,,,5,,2020/04/24,,8.0,683.0,,,,8,1663696,41.05317317586867
Araucanía,,,,,26,,2020/04/24,,42.0,1184.0,,,,9,1014343,116.72580182443217
Los Ríos,,,,,3,,2020/04/24,,1.0,174.0,,,,14,405835,42.87456725023717
Los Lagos,,,,,8,,2020/04/24,,6.0,460.0,,,,10,891440,51.60190253971103
Aysén,,,,,0,,2020/04/24,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,8,,2020/04/24,,9.0,624.0,,,,12,178362,349.85030443704375
Arica y Parinacota,,,,,2,,2020/04/18,,8.0,142.0,,,,15,252110,56.32462020546587
Tarapacá,,,,,0,,2020/04/18,,8.0,81.0,,,,1,382773,21.161367181070766
Antofagasta,,,,,1,,2020/04/18,,15.0,226.0,,,,2,691854,32.66585146577168
Atacama,,,,,0,,2020/04/18,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/18,,0.0,68.0,,,,4,836096,8.133037354562155
Valparaíso,,,,,4,,2020/04/18,,14.0,359.0,,,,5,1960170,18.314738007417724
Metropolitana,,,,,58,,2020/04/18,,277.0,5192.0,,,,13,8125072,63.90097220061558
O’Higgins,,,,,0,,2020/04/18,,0.0,55.0,,,,6,991063,5.549596746120075
Maule,,,,,8,,2020/04/18,,53.0,276.0,,,,7,1131939,24.38293936334025
Ñuble,,,,,12,,2020/04/18,,11.0,667.0,,,,16,511551,130.38778147242405
Biobío,,,,,3,,2020/04/18,,28.0,606.0,,,,8,1663696,36.424923784152874
Araucanía,,,,,23,,2020/04/18,,37.0,944.0,,,,9,1014343,93.0651663194797
Los Ríos,,,,,3,,2020/04/18,,2.0,156.0,,,,14,405835,38.439267189867806
Los Lagos,,,,,6,,2020/04/18,,4.0,416.0,,,,10,891440,46.66606838373867
Aysén,,,,,0,,2020/04/18,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,6,,2020/04/18,,21.0,522.0,,,,12,178362,292.663235442527
Arica y Parinacota,498.0,16.0,13.0,3.0,7,0.72%,2020/05/24,,,,,,,15,252110,
Tarapacá,1564.0,93.0,85.0,8.0,7,2.26%,2020/05/24,,,,,,,1,382773,
Antofagasta,1947.0,50.0,40.0,10.0,21,2.82%,2020/05/24,,,,,,,2,691854,
Atacama,182.0,0.0,0.0,0.0,0,0.26%,2020/05/24,,,,,,,3,314709,
Coquimbo,323.0,29.0,25.0,4.0,2,0.47%,2020/05/24,,,,,,,4,836096,
Valparaíso,2230.0,114.0,99.0,15.0,48,3.23%,2020/05/24,,,,,,,5,1960170,
Metropolitana,54544.0,3145.0,2859.0,286.0,494,78.93%,2020/05/24,,,,,,,13,8125072,
O’Higgins,554.0,36.0,28.0,8.0,11,0.80%,2020/05/24,,,,,,,6,991063,
Maule,892.0,69.0,65.0,4.0,15,1.29%,2020/05/24,,,,,,,7,1131939,
Ñuble,1102.0,25.0,23.0,2.0,21,1.59%,2020/05/24,,,,,,,16,511551,
Biobío,1414.0,60.0,51.0,9.0,10,2.05%,2020/05/24,,,,,,,8,1663696,
Araucanía,1808.0,34.0,26.0,8.0,45,2.62%,2020/05/24,,,,,,,9,1014343,
Los Ríos,290.0,16.0,11.0,5.0,6,0.42%,2020/05/24,,,,,,,14,405835,
Los Lagos,736.0,9.0,6.0,3.0,13,1.07%,2020/05/24,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.01%,2020/05/24,,,,,,,11,107297,
Magallanes,1010.0,13.0,12.0,1.0,18,1.46%,2020/05/24,,,,,,,12,178362,
Arica y Parinacota,736.0,35.0,31.0,4.0,0,0.62%,2020/06/04,8.0,,,,,,15,252110,
Tarapacá,2810.0,128.0,108.0,20.0,0,2.38%,2020/06/04,28.0,,,,,,1,382773,
Antofagasta,2862.0,146.0,129.0,17.0,0,2.42%,2020/06/04,38.0,,,,,,2,691854,
Atacama,258.0,16.0,15.0,1.0,0,0.22%,2020/06/04,0.0,,,,,,3,314709,
Coquimbo,772.0,54.0,44.0,10.0,0,0.65%,2020/06/04,4.0,,,,,,4,836096,
Valparaíso,4017.0,248.0,233.0,15.0,0,3.40%,2020/06/04,78.0,,,,,,5,1960170,
Metropolitana,95890.0,3699.0,3327.0,372.0,0,81.06%,2020/06/04,1034.0,,,,,,13,8125072,
O’Higgins,967.0,36.0,32.0,4.0,0,0.82%,2020/06/04,21.0,,,,,,6,991063,
Maule,1732.0,137.0,117.0,20.0,0,1.46%,2020/06/04,21.0,,,,,,7,1131939,
Ñuble,1372.0,43.0,36.0,7.0,0,1.16%,2020/06/04,24.0,,,,,,16,511551,
Biobío,2301.0,86.0,68.0,18.0,0,1.95%,2020/06/04,13.0,,,,,,8,1663696,
Araucanía,2182.0,9.0,6.0,3.0,0,1.84%,2020/06/04,47.0,,,,,,9,1014343,
Los Ríos,379.0,7.0,6.0,1.0,0,0.32%,2020/06/04,8.0,,,,,,14,405835,
Los Lagos,926.0,13.0,13.0,0.0,0,0.78%,2020/06/04,13.0,,,,,,10,891440,
Aysén,19.0,1.0,1.0,0.0,0,0.02%,2020/06/04,0.0,,,,,,11,107297,
Magallanes,1069.0,6.0,6.0,0.0,0,0.90%,2020/06/04,19.0,,,,,,12,178362,
Arica y Parinacota,482.0,11.0,9.0,2.0,7,0.74%,2020/05/23,,,,,,,15,252110,
Tarapacá,1471.0,78.0,68.0,10.0,5,2.25%,2020/05/23,,,,,,,1,382773,
Antofagasta,1897.0,56.0,52.0,4.0,21,2.90%,2020/05/23,,,,,,,2,691854,
Atacama,182.0,7.0,6.0,1.0,0,0.28%,2020/05/23,,,,,,,3,314709,
Coquimbo,294.0,13.0,12.0,1.0,2,0.45%,2020/05/23,,,,,,,4,836096,
Valparaíso,2116.0,96.0,87.0,9.0,44,3.24%,2020/05/23,,,,,,,5,1960170,
Metropolitana,51399.0,3049.0,2812.0,237.0,455,78.60%,2020/05/23,,,,,,,13,8125072,
O’Higgins,518.0,26.0,20.0,6.0,11,0.79%,2020/05/23,,,,,,,6,991063,
Maule,823.0,41.0,37.0,4.0,15,1.26%,2020/05/23,,,,,,,7,1131939,
Ñuble,1077.0,52.0,45.0,7.0,21,1.65%,2020/05/23,,,,,,,16,511551,
Biobío,1354.0,43.0,39.0,4.0,10,2.07%,2020/05/23,,,,,,,8,1663696,
Araucanía,1774.0,37.0,30.0,7.0,45,2.71%,2020/05/23,,,,,,,9,1014343,
Los Ríos,274.0,12.0,10.0,2.0,6,0.42%,2020/05/23,,,,,,,14,405835,
Los Lagos,727.0,10.0,5.0,5.0,13,1.11%,2020/05/23,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.01%,2020/05/23,,,,,,,11,107297,
Magallanes,997.0,5.0,5.0,0.0,18,1.52%,2020/05/23,,,,,,,12,178362,
Arica y Parinacota,562.0,21.0,18.0,3.0,7,0.65%,2020/05/28,,,,,,,15,252110,
Tarapacá,1957.0,146.0,119.0,27.0,12,2.25%,2020/05/28,,,,,,,1,382773,
Antofagasta,2248.0,111.0,98.0,13.0,28,2.59%,2020/05/28,,,,,,,2,691854,
Atacama,202.0,5.0,4.0,1.0,0,0.23%,2020/05/28,,,,,,,3,314709,
Coquimbo,482.0,27.0,24.0,3.0,2,0.55%,2020/05/28,,,,,,,4,836096,
Valparaíso,2730.0,154.0,123.0,31.0,60,3.14%,2020/05/28,,,,,,,5,1960170,
Metropolitana,69915.0,3904.0,3500.0,404.0,638,80.41%,2020/05/28,,,,,,,13,8125072,
O’Higgins,705.0,14.0,13.0,1.0,14,0.81%,2020/05/28,,,,,,,6,991063,
Maule,1120.0,54.0,46.0,8.0,15,1.29%,2020/05/28,,,,,,,7,1131939,
Ñuble,1205.0,31.0,26.0,5.0,22,1.39%,2020/05/28,,,,,,,16,511551,
Biobío,1677.0,112.0,96.0,16.0,10,1.93%,2020/05/28,,,,,,,8,1663696,
Araucanía,1954.0,38.0,31.0,7.0,45,2.25%,2020/05/28,,,,,,,9,1014343,
Los Ríos,318.0,9.0,9.0,0.0,6,0.37%,2020/05/28,,,,,,,14,405835,
Los Lagos,814.0,23.0,17.0,6.0,13,0.94%,2020/05/28,,,,,,,10,891440,
Aysén,14.0,2.0,2.0,0.0,0,0.02%,2020/05/28,,,,,,,11,107297,
Magallanes,1040.0,3.0,2.0,1.0,18,1.20%,2020/05/28,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/13,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/13,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/13,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/13,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/13,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/13,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/13,,6.0,29.0,,,,13,8125072,0.35691991406353074
O’Higgins,,,,,0,,2020/03/13,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/13,,1.0,8.0,,,,7,1131939,0.7067518656040652
Ñuble,,,,,0,,2020/03/13,,1.0,2.0,,,,16,511551,0.39096786048702864
Biobío,,,,,0,,2020/03/13,,2.0,3.0,,,,8,1663696,0.18032140487204393
Araucanía,,,,,0,,2020/03/13,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/13,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/13,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/13,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/13,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,327.0,2.0,1.0,1.0,6,1.26%,2020/05/08,,,,,,,15,252110,
Tarapacá,459.0,42.0,5.0,37.0,1,1.77%,2020/05/08,,,,,,,1,382773,
Antofagasta,923.0,28.0,26.0,2.0,9,3.55%,2020/05/08,,,,,,,2,691854,
Atacama,88.0,1.0,0.0,1.0,0,0.34%,2020/05/08,,,,,,,3,314709,
Coquimbo,111.0,11.0,9.0,2.0,0,0.43%,2020/05/08,,,,,,,4,836096,
Valparaíso,828.0,47.0,38.0,9.0,18,3.19%,2020/05/08,,,,,,,5,1960170,
